Symbol,Company,Industry,Close,200DMA,Status,Difference %
NESTLEIND,Nestle India Ltd.,Fast Moving Consumer Goods,1180.54,1154.88,Above,2.22
LT,Larsen & Toubro Ltd.,Construction,3519.68,3448.01,Above,2.08
PIDILITIND,Pidilite Industries Ltd.,Chemicals,1527.77,1497.34,Above,2.03
JUBLINGREA,Jubilant Ingrevia Ltd.,Chemicals,712.71,698.62,Above,2.02
WELCORP,Welspun Corp Ltd.,Capital Goods,753.72,738.78,Above,2.02
CEMPRO,Cemindia Projects Ltd.,Construction,540.58,530.49,Above,1.9
DEVYANI,Devyani International Ltd.,Consumer Services,176.7,173.84,Above,1.65
APTUS,Aptus Value Housing Finance India Ltd.,Financial Services,314.68,310.16,Above,1.46
BANKINDIA,Bank of India,Financial Services,102.88,101.49,Above,1.36
APOLLOHOSP,Apollo Hospitals Enterprise Ltd.,Healthcare,6907.98,6816.32,Above,1.34
CANBK,Canara Bank,Financial Services,94.26,93.1,Above,1.25
SARDAEN,Sarda Energy and Minerals Ltd.,Metals & Mining,441.79,436.53,Above,1.21
SBIN,State Bank of India,Financial Services,771.96,762.83,Above,1.2
NBCC,NBCC (India) Ltd.,Construction,99.17,98.16,Above,1.02
ADANIENSOL,Adani Energy Solutions Ltd.,Power,894.3,887.04,Above,0.82
YESBANK,Yes Bank Ltd.,Financial Services,20.41,20.25,Above,0.78
PATANJALI,Patanjali Foods Ltd.,Fast Moving Consumer Goods,601.57,597.52,Above,0.68
AFFLE,Affle 3i Ltd.,Information Technology,1587.1,1576.95,Above,0.64
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology,738.16,734.06,Above,0.56
CESC,CESC Ltd.,Power,161.34,160.66,Above,0.42
MANKIND,Mankind Pharma Ltd.,Healthcare,2499.01,2489.37,Above,0.39
POWERGRID,Power Grid Corporation of India Ltd.,Power,299.27,298.19,Above,0.36
APOLLOTYRE,Apollo Tyres Ltd.,Automobile and Auto Components,472.62,471.57,Above,0.22
FEDERALBNK,Federal Bank Ltd.,Financial Services,193.28,192.96,Above,0.17
